Package,Class,Field,Type,Description Rating,Has Example?
custom-functions-runtime,CustomFunctions.CancelableInvocation,N/A,Interface,Excellent,false
custom-functions-runtime,CustomFunctions.Error,N/A,Class,Good,false
custom-functions-runtime,CustomFunctions.Error,"code",Property,Great,false
custom-functions-runtime,CustomFunctions.Error,"message",Property,Excellent,false
custom-functions-runtime,CustomFunctions.ErrorCode,N/A,Enum,Excellent,false
custom-functions-runtime,CustomFunctions.ErrorCode,"divisionByZero",EnumField,Excellent,false
custom-functions-runtime,CustomFunctions.ErrorCode,"invalidName",EnumField,Excellent,false
custom-functions-runtime,CustomFunctions.ErrorCode,"invalidNumber",EnumField,Excellent,false
custom-functions-runtime,CustomFunctions.ErrorCode,"invalidReference",EnumField,Excellent,false
custom-functions-runtime,CustomFunctions.ErrorCode,"invalidValue",EnumField,Excellent,false
custom-functions-runtime,CustomFunctions.ErrorCode,"notAvailable",EnumField,Excellent,false
custom-functions-runtime,CustomFunctions.ErrorCode,"nullReference",EnumField,Excellent,false
custom-functions-runtime,CustomFunctions.Invocation,N/A,Interface,Fine,false
custom-functions-runtime,CustomFunctions.Invocation,"address",Property,Excellent,false
custom-functions-runtime,CustomFunctions.Invocation,"functionName",Property,Good,false
custom-functions-runtime,CustomFunctions.Invocation,"isInValuePreview",Property,Excellent,false
custom-functions-runtime,CustomFunctions.Invocation,"parameterAddresses",Property,Excellent,false
custom-functions-runtime,CustomFunctions.StreamingInvocation,N/A,Interface,Great,false
custom-functions-runtime,CustomFunctions.StreamingInvocation,"setResult",Property,Great,false
custom-functions-runtime,N/A,N/A,Package,Missing,false
custom-functions-runtime,N/A,"CustomFunctions.associate(id, functionObject)",Method,Good,false
custom-functions-runtime,N/A,"CustomFunctions.associate(mappings)",Method,Good,false
excel,Excel.AggregationFunction,N/A,Enum,Good,false
excel,Excel.AggregationFunction,"automatic",EnumField,Great,false
excel,Excel.AggregationFunction,"average",EnumField,Great,false
excel,Excel.AggregationFunction,"count",EnumField,Great,false
excel,Excel.AggregationFunction,"countNumbers",EnumField,Great,false
excel,Excel.AggregationFunction,"max",EnumField,Great,false
excel,Excel.AggregationFunction,"min",EnumField,Great,false
excel,Excel.AggregationFunction,"product",EnumField,Great,false
excel,Excel.AggregationFunction,"standardDeviation",EnumField,Great,false
excel,Excel.AggregationFunction,"standardDeviationP",EnumField,Great,false
excel,Excel.AggregationFunction,"sum",EnumField,Great,false
excel,Excel.AggregationFunction,"unknown",EnumField,Great,false
excel,Excel.AggregationFunction,"variance",EnumField,Great,false
excel,Excel.AggregationFunction,"varianceP",EnumField,Great,false
excel,Excel.AllowEditRange,N/A,Class,Excellent,false
excel,Excel.AllowEditRange,"address",Property,Excellent,false
excel,Excel.AllowEditRange,"context",Property,Excellent,false
excel,Excel.AllowEditRange,"isPasswordProtected",Property,Great,false
excel,Excel.AllowEditRange,"title",Property,Excellent,false
excel,Excel.AllowEditRange,"delete()",Method,Excellent,false
excel,Excel.AllowEditRange,"load(options)",Method,Great,false
excel,Excel.AllowEditRange,"load(propertyNames)",Method,Great,false
excel,Excel.AllowEditRange,"load(propertyNamesAndPaths)",Method,Great,false
excel,Excel.AllowEditRange,"pauseProtection(password)",Method,Excellent,false
excel,Excel.AllowEditRange,"set(properties, options)",Method,Good,false
excel,Excel.AllowEditRange,"set(properties)",Method,Fine,false
excel,Excel.AllowEditRange,"setPassword(password)",Method,Excellent,false
excel,Excel.AllowEditRange,"toJSON()",Method,Excellent,false
excel,Excel.AllowEditRangeCollection,N/A,Class,Excellent,false
excel,Excel.AllowEditRangeCollection,"context",Property,Excellent,false
excel,Excel.AllowEditRangeCollection,"items",Property,Great,false
excel,Excel.AllowEditRangeCollection,"add(title, rangeAddress, options)",Method,Excellent,false
excel,Excel.AllowEditRangeCollection,"getCount()",Method,Good,false
excel,Excel.AllowEditRangeCollection,"getItem(key)",Method,Fine,false
excel,Excel.AllowEditRangeCollection,"getItemAt(index)",Method,Good,false
excel,Excel.AllowEditRangeCollection,"getItemOrNullObject(key)",Method,Fine,false
excel,Excel.AllowEditRangeCollection,"load(options)",Method,Great,false
excel,Excel.AllowEditRangeCollection,"load(propertyNames)",Method,Great,false
excel,Excel.AllowEditRangeCollection,"load(propertyNamesAndPaths)",Method,Great,false
excel,Excel.AllowEditRangeCollection,"pauseProtection(password)",Method,Excellent,false
excel,Excel.AllowEditRangeCollection,"toJSON()",Method,Excellent,false
excel,Excel.AllowEditRangeOptions,N/A,Interface,Fine,false
excel,Excel.AllowEditRangeOptions,"password",Property,Great,false
excel,Excel.Application,N/A,Class,Fine,false
excel,Excel.Application,"activeWindow",Property,Excellent,false
excel,Excel.Application,"calculationEngineVersion",Property,Excellent,false
