Class,Field,Type,Description Rating,Has Example?
CustomFunctions.CancelableInvocation,N/A,Class,Good,false
CustomFunctions.CancelableInvocation,onCanceled,Method,Good,false
CustomFunctions.Error,N/A,Class,Good,false
CustomFunctions.Error,code,Method,Good,false
CustomFunctions.Error,message,Method,Good,false
CustomFunctions.ErrorCode,N/A,Class,Good,false
CustomFunctions.ErrorCode,divisionByZero,EnumField,Good,false
CustomFunctions.ErrorCode,invalidName,EnumField,Good,false
CustomFunctions.ErrorCode,invalidNumber,EnumField,Good,false
CustomFunctions.ErrorCode,invalidReference,EnumField,Good,false
CustomFunctions.ErrorCode,invalidValue,EnumField,Good,false
CustomFunctions.ErrorCode,notAvailable,EnumField,Good,false
CustomFunctions.ErrorCode,nullReference,EnumField,Good,false
CustomFunctions.Invocation,N/A,Class,Fine,false
CustomFunctions.Invocation,address,Method,Good,false
CustomFunctions.Invocation,functionName,Method,Good,false
CustomFunctions.Invocation,parameterAddresses,Method,Good,false
CustomFunctions.StreamingInvocation,N/A,Class,Good,false
CustomFunctions.StreamingInvocation,setResult,Method,Good,false
Excel.AggregationFunction,N/A,Class,Good,false
Excel.AggregationFunction,automatic,EnumField,Fine,false
Excel.AggregationFunction,average,EnumField,Fine,false
Excel.AggregationFunction,count,EnumField,Fine,false
Excel.AggregationFunction,countNumbers,EnumField,Fine,false
Excel.AggregationFunction,max,EnumField,Fine,false
Excel.AggregationFunction,min,EnumField,Fine,false
Excel.AggregationFunction,product,EnumField,Fine,false
Excel.AggregationFunction,standardDeviation,EnumField,Fine,false
Excel.AggregationFunction,standardDeviationP,EnumField,Fine,false
Excel.AggregationFunction,sum,EnumField,Fine,false
Excel.AggregationFunction,unknown,EnumField,Fine,false
Excel.AggregationFunction,variance,EnumField,Fine,false
Excel.AggregationFunction,varianceP,EnumField,Fine,false
Excel.AllowEditRange,N/A,Class,Good,false
Excel.AllowEditRange,address,Method,Good,false
Excel.AllowEditRange,context,Method,Good,false
Excel.AllowEditRange,isPasswordProtected,Method,Good,false
Excel.AllowEditRange,title,Method,Good,false
Excel.AllowEditRange,delete(),Method,Good,false
Excel.AllowEditRange,load(options),Method,Good,false
Excel.AllowEditRange,load(propertyNames),Method,Good,false
Excel.AllowEditRange,load(propertyNamesAndPaths),Method,Good,false
Excel.AllowEditRange,pauseProtection(password),Method,Good,false
Excel.AllowEditRange,set(properties,Method,Good,false
